,status_group
16292,functional needs repair
16293,functional
16294,non functional
16295,functional
16296,functional
16297,non functional
16298,functional
16299,non functional
16300,functional
16301,functional
16302,functional
16303,functional
16304,functional
16305,functional
16306,non functional
16307,non functional
16308,functional
16309,functional
16310,non functional
16311,functional
16312,functional
16313,non functional
16314,non functional
16315,functional needs repair
16316,functional
16317,functional
16318,functional
16319,non functional
16320,functional
16321,non functional
16322,functional
16323,non functional
16324,non functional
16325,functional
16326,functional
16327,functional
16328,non functional
16329,functional
16330,functional
16331,non functional
16332,non functional
16333,non functional
16334,non functional
16335,functional
16336,non functional
16337,functional
16338,non functional
16339,non functional
16340,functional
16341,non functional
16342,non functional
16343,functional
16344,functional
16345,functional
16346,functional
16347,functional
16348,non functional
16349,functional
16350,non functional
16351,non functional
16352,functional
16353,functional
16354,functional
16355,non functional
16356,functional
16357,functional
16358,functional
16359,functional
16360,functional
16361,functional
16362,non functional
16363,functional
16364,functional
16365,non functional
16366,non functional
16367,functional
16368,functional
16369,non functional
16370,non functional
16371,functional
16372,functional
16373,functional
16374,functional
16375,functional
16376,functional needs repair
16377,functional
16378,functional
16379,functional needs repair
16380,functional
16381,functional
16382,non functional
16383,non functional
16384,functional
16385,non functional
16386,non functional
16387,non functional
16388,functional
16389,functional
16390,functional
16391,functional
16392,functional
16393,functional
16394,functional
16395,non functional
16396,functional
16397,non functional
16398,non functional
16399,functional
16400,functional
16401,non functional
16402,non functional
16403,functional needs repair
16404,functional
16405,non functional
16406,non functional
16407,functional
16408,functional
16409,functional
16410,non functional
16411,non functional
16412,non functional
16413,non functional
16414,functional
16415,functional
16416,non functional
16417,functional
16418,functional needs repair
16419,functional
16420,functional
16421,functional
16422,non functional
16423,functional
16424,functional
16425,non functional
16426,functional
16427,non functional
16428,functional
16429,non functional
16430,non functional
16431,functional needs repair
16432,functional
16433,functional
16434,functional
16435,non functional
16436,functional
16437,functional
16438,non functional
16439,functional
16440,functional
16441,functional
16442,functional
16443,functional
16444,functional
16445,functional
16446,functional
16447,functional
16448,non functional
16449,non functional
16450,functional needs repair
16451,functional
16452,functional
16453,functional
16454,non functional
16455,functional
16456,functional
16457,functional
16458,non functional
16459,functional
16460,non functional
16461,functional
16462,non functional
16463,non functional
16464,functional
16465,functional
16466,functional
16467,functional
16468,non functional
16469,non functional
16470,non functional
16471,functional
16472,functional
16473,functional
16474,non functional
16475,non functional
16476,functional
16477,non functional
16478,non functional
16479,functional
16480,functional needs repair
16481,non functional
16482,functional
16483,non functional
16484,non functional
16485,non functional
16486,non functional
16487,non functional
16488,non functional
16489,non functional
16490,functional
16491,non functional
16492,non functional
16493,non functional
16494,non functional
16495,functional
16496,functional
16497,non functional
16498,functional
16499,non functional
16500,functional
16501,non functional
16502,functional
16503,functional
16504,functional
16505,functional
16506,functional
16507,functional
16508,functional
16509,non functional
